ああ　　　　　　　　　　　　　　　　　　ああ　　　　　　　　　　　　　　　　　　,A  .     ,
お願いします。　　　　　　　　　　　　　おねがいします。　　　　　　　　　　　　,A  .     ,
おはよう　　　　　　　　　　　　　　　　おはよう　　　　　　　　　　　　　　　　,A  .     ,
おはようございます　　　　　　　　　　　おはようございます　　　　　　　　　　　,A  .     ,
おめでとう　　　　　　　　　　　　　　　おめでとう　　　　　　　　　　　　　　　,A  .  P  ,
おめでとうございます　　　　　　　　　　おめでとうございます　　　　　　　　　　,A  .  P  ,
おもてなし　　　　　　　　　　　　　　　おもてなし　　　　　　　　　　　　　　　,A  .     ,
および　　　　　　　　　　　　　　　　　および　　　　　　　　　　　　　　　　　,A  .     ,
お楽に　　　　　　　　　　　　　　　　　おらくに　　　　　　　　　　　　　　　　,A  .     ,
おわびもうしあげます　　　　　　　　　　おわびもうしあげます　　　　　　　　　　,A  .     ,
顔を洗って出直せ　　　　　　　　　　　　かおをあらってでなせ　　　　　　　　　　,A  .  N  ,
合掌　　　　　　　　　　　　　　　　　　がっしょう　　　　　　　　　　　　　　　,A  .     ,
がんばって下さい　　　　　　　　　　　　がんばってください　　　　　　　　　　　,A  .  P  ,
がんばります　　　　　　　　　　　　　　がんばります　　　　　　　　　　　　　　,A  .  P  ,
がんばれ　　　　　　　　　　　　　　　　がんばれ　　　　　　　　　　　　　　　　,A  .  P  ,
がんばろう　　　　　　　　　　　　　　　がんばろう　　　　　　　　　　　　　　　,A  .  P  ,
気を付け　　　　　　　　　　　　　　　　きをつけ　　　　　　　　　　　　　　　　,A  .  P  ,
臭っ　　　　　　　　　　　　　　　　　　くさっ　　　　　　　　　　　　　　　　　,A  .  N  ,
くそっ　　　　　　　　　　　　　　　　　くそっ　　　　　　　　　　　　　　　　　,A  .  N  ,
くわばらくわばら　　　　　　　　　　　　くわばらくわばら　　　　　　　　　　　　,A  .     ,
検討に検討を重ねて　　　　　　　　　　　けんとうにけんとうをかさねて　　　　　　,A  .     ,
ご安心あれ　　　　　　　　　　　　　　　ごあんしんあれ　　　　　　　　　　　　　,A  .  P  ,
ご期待あれ　　　　　　　　　　　　　　　ごきたいあれ　　　　　　　　　　　　　　,A  .  P  ,
ごくろうさま　　　　　　　　　　　　　　ごくろうさま　　　　　　　　　　　　　　,A  .  P  ,
ごくろうさまでした　　　　　　　　　　　ごくろうさまでした　　　　　　　　　　　,A  .  P  ,
ごくろうさまです　　　　　　　　　　　　ごくろうさまです　　　　　　　　　　　　,A  .  P  ,
ご愁傷さま　　　　　　　　　　　　　　　ごしゅうしょうさま　　　　　　　　　　　,A  .  N  ,
ご清栄の段　　　　　　　　　　　　　　　ごせいえいのだん　　　　　　　　　　　　,A  .  P  ,
ごちそうさま　　　　　　　　　　　　　　ごちそうさま　　　　　　　　　　　　　　,A  .  P  ,
ごちそうさまでした　　　　　　　　　　　ごちそうさまでした　　　　　　　　　　　,A  .  P  ,
こちらこそ　　　　　　　　　　　　　　　こちらこそ　　　　　　　　　　　　　　　,A  .     ,
ごっつおうさま　　　　　　　　　　　　　ごっつおうさま　　　　　　　　　　　　　,A  .     ,
このころは　　　　　　　　　　　　　　　このころは　　　　　　　　　　　　　　　,A  .     ,
このたびは　　　　　　　　　　　　　　　このたびは　　　　　　　　　　　　　　　,A  .     ,
ごぶさたしています　　　　　　　　　　　ごぶさたしています　　　　　　　　　　　,A  .     ,
ごぶさたしております　　　　　　　　　　ごぶさたしております　　　　　　　　　　,A  .     ,
ごめん　　　　　　　　　　　　　　　　　ごめん　　　　　　　　　　　　　　　　　,A  .     ,
こらこら　　　　　　　　　　　　　　　　こらこら　　　　　　　　　　　　　　　　,A  .     ,
こらっ　　　　　　　　　　　　　　　　　こらっ　　　　　　　　　　　　　　　　　,A  .  N  ,
こりゃ　　　　　　　　　　　　　　　　　こりゃ　　　　　　　　　　　　　　　　　,A  .     ,
これ　　　　　　　　　　　　　　　　　　これ　　　　　　　　　　　　　　　　　　,A  .     ,
こわっ　　　　　　　　　　　　　　　　　こわっ　　　　　　　　　　　　　　　　　,A  .  N  ,
こんちきしょう　　　　　　　　　　　　　こんちきしょう　　　　　　　　　　　　　,A  .  N  ,
こんちくしょう　　　　　　　　　　　　　こんちくしょう　　　　　　　　　　　　　,A  .     ,
こんにちは　　　　　　　　　　　　　　　こんにちは　　　　　　　　　　　　　　　,A  .     ,
こんばんは　　　　　　　　　　　　　　　こんばんは　　　　　　　　　　　　　　　,A  .     ,
さあさ　　　　　　　　　　　　　　　　　さあさ　　　　　　　　　　　　　　　　　,A  .     ,
さあて　　　　　　　　　　　　　　　　　さあて　　　　　　　　　　　　　　　　　,A  .     ,
さあな　　　　　　　　　　　　　　　　　さあな　　　　　　　　　　　　　　　　　,A  .     ,
さあね　　　　　　　　　　　　　　　　　さあね　　　　　　　　　　　　　　　　　,A  .     ,
幸いなるかな　　　　　　　　　　　　　　さいわいなるかな　　　　　　　　　　　　,A  .  P  ,
ざけんなよ　　　　　　　　　　　　　　　ざけんなよ　　　　　　　　　　　　　　　,A  .     ,
さて　　　　　　　　　　　　　　　　　　さて　　　　　　　　　　　　　　　　　　,A  .     ,
ざまあみろ　　　　　　　　　　　　　　　ざまあみろ　　　　　　　　　　　　　　　,A  .  N  ,
ざまをみろ　　　　　　　　　　　　　　　ざまをみろ　　　　　　　　　　　　　　　,A  .  N  ,
寒っ　　　　　　　　　　　　　　　　　　さむっ　　　　　　　　　　　　　　　　　,A  .  N  ,
さようなら　　　　　　　　　　　　　　　さようなら　　　　　　　　　　　　　　　,A  .     ,
さよなら　　　　　　　　　　　　　　　　さよなら　　　　　　　　　　　　　　　　,A  .     ,
さらば　　　　　　　　　　　　　　　　　さらば　　　　　　　　　　　　　　　　　,A  .     ,
さりげない　　　　　　　　　　　　　　　さりげない　　　　　　　　　　　　　　　,A  .     ,
ざんしょ　　　　　　　　　　　　　　　　ざんしょ　　　　　　　　　　　　　　　　,A  .     ,
失礼します　　　　　　　　　　　　　　　しつれいします　　　　　　　　　　　　　,A  .     ,
しでかした　　　　　　　　　　　　　　　しでかした　　　　　　　　　　　　　　　,A  .  N  ,
してません　　　　　　　　　　　　　　　してません　　　　　　　　　　　　　　　,A  .     ,
じゃ　　　　　　　　　　　　　　　　　　じゃ　　　　　　　　　　　　　　　　　　,A  .     ,
じゃあ　　　　　　　　　　　　　　　　　じゃあ　　　　　　　　　　　　　　　　　,A  .     ,
じゃあな　　　　　　　　　　　　　　　　じゃあな　　　　　　　　　　　　　　　　,A  .     ,
じゃあね　　　　　　　　　　　　　　　　じゃあね　　　　　　　　　　　　　　　　,A  .     ,
しょうがないから　　　　　　　　　　　　しょうがないから　　　　　　　　　　　　,A  .     ,
しょうがないね　　　　　　　　　　　　　しょうがないね　　　　　　　　　　　　　,A  .     ,
すいません　　　　　　　　　　　　　　　すいません　　　　　　　　　　　　　　　,A  .     ,
すげー　　　　　　　　　　　　　　　　　すげー　　　　　　　　　　　　　　　　　,A  .     ,
すごいですね　　　　　　　　　　　　　　すごいですね　　　　　　　　　　　　　　,A  .     ,
すみません　　　　　　　　　　　　　　　すみません　　　　　　　　　　　　　　　,A  .     ,
すみませんでした　　　　　　　　　　　　すみませんでした　　　　　　　　　　　　,A  .     ,
すわ　　　　　　　　　　　　　　　　　　すわ　　　　　　　　　　　　　　　　　　,A  .     ,
せっかく　　　　　　　　　　　　　　　　せっかく　　　　　　　　　　　　　　　　,A  .     ,
そうそう　　　　　　　　　　　　　　　　そうそう　　　　　　　　　　　　　　　　,A  .     ,相槌
そうですか　　　　　　　　　　　　　　　そうですか　　　　　　　　　　　　　　　,A  .     ,
そうなの　　　　　　　　　　　　　　　　そうなの　　　　　　　　　　　　　　　　,A  .     ,
そつじながら　　　　　　　　　　　　　　そつじながら　　　　　　　　　　　　　　,A  .     ,
そりゃ　　　　　　　　　　　　　　　　　そりゃ　　　　　　　　　　　　　　　　　,A  .     ,
それじゃ　　　　　　　　　　　　　　　　それじゃ　　　　　　　　　　　　　　　　,A  .     ,
それでは　　　　　　　　　　　　　　　　それでは　　　　　　　　　　　　　　　　,A  .     ,
それはそれは　　　　　　　　　　　　　　それはそれは　　　　　　　　　　　　　　,A  .     ,
それ見たことか　　　　　　　　　　　　　それみたことか　　　　　　　　　　　　　,A  .     ,
それゆけ　　　　　　　　　　　　　　　　それゆけ　　　　　　　　　　　　　　　　,A  .     ,
大丈夫　　　　　　　　　　　　　　　　　だいじょうぶ　　　　　　　　　　　　　　,A  .     ,
大変だったんですね　　　　　　　　　　　たいへんだったんですね　　　　　　　　　,A  .     ,
ただいま　　　　　　　　　　　　　　　　ただいま　　　　　　　　　　　　　　　　,A  .     ,
だって　　　　　　　　　　　　　　　　　だって　　　　　　　　　　　　　　　　　,A  .     ,
だってさ　　　　　　　　　　　　　　　　だってさ　　　　　　　　　　　　　　　　,A  .     ,
だね　　　　　　　　　　　　　　　　　　だね　　　　　　　　　　　　　　　　　　,A  .     ,
だめだこりゃ　　　　　　　　　　　　　　だめだこりゃ　　　　　　　　　　　　　　,A  .  N  ,
だもーん　　　　　　　　　　　　　　　　だもーん　　　　　　　　　　　　　　　　,A  .     ,
だよ　　　　　　　　　　　　　　　　　　だよ　　　　　　　　　　　　　　　　　　,A  .     ,
だよな　　　　　　　　　　　　　　　　　だよな　　　　　　　　　　　　　　　　　,A  .     ,
だよね　　　　　　　　　　　　　　　　　だよね　　　　　　　　　　　　　　　　　,A  .     ,
ちちんぷいぷいのぷい　　　　　　　　　　ちちんぷいぷいのぷい　　　　　　　　　　,A  .     ,
ちょこざいな　　　　　　　　　　　　　　ちょこざいな　　　　　　　　　　　　　　,A  .     ,
ちょっくら　　　　　　　　　　　　　　　ちょっくら　　　　　　　　　　　　　　　,A  .     ,
ちょっとどうかな　　　　　　　　　　　　ちょっとどうかな　　　　　　　　　　　　,A  .  N  ,
つと　　　　　　　　　　　　　　　　　　つと　　　　　　　　　　　　　　　　　　,A  .     ,
つまらないものですが　　　　　　　　　　つまらないものですが　　　　　　　　　　,A  .     ,
つよっ　　　　　　　　　　　　　　　　　つよっ　　　　　　　　　　　　　　　　　,A  .  P  ,
で　　　　　　　　　　　　　　　　　　　で　　　　　　　　　　　　　　　　　　　,A  .     ,疑問
でかした　　　　　　　　　　　　　　　　でかした　　　　　　　　　　　　　　　　,A  .  P  ,
では　　　　　　　　　　　　　　　　　　では　　　　　　　　　　　　　　　　　　,A  .     ,
どういたしまして　　　　　　　　　　　　どういたしまして　　　　　　　　　　　　,A  .     ,
どうしてどうして　　　　　　　　　　　　どうしてどうして　　　　　　　　　　　　,A  .     ,
どうしよう　　　　　　　　　　　　　　　どうしよう　　　　　　　　　　　　　　　,A  .     ,
どうもです　　　　　　　　　　　　　　　どうもです　　　　　　　　　　　　　　　,A  .     ,
とかね　　　　　　　　　　　　　　　　　とかね　　　　　　　　　　　　　　　　　,A  .     ,
年の瀬も押し迫り　　　　　　　　　　　　としのせもおしせまり　　　　　　　　　　,A  .     ,
どっこいしょ　　　　　　　　　　　　　　どっこいしょ　　　　　　　　　　　　　　,A  .     ,
とほほ　　　　　　　　　　　　　　　　　とほほ　　　　　　　　　　　　　　　　　,A  .  N  ,
とんでもございません　　　　　　　　　　とんでもございません　　　　　　　　　　,A  .     ,
どんとこい　　　　　　　　　　　　　　　どんとこい　　　　　　　　　　　　　　　,A  .  P  ,
ドントマインド　　　　　　　　　　　　　どんとまいんど　　　　　　　　　　　　　,A  .  P  ,
なーんちゃって　　　　　　　　　　　　　なーんちゃって　　　　　　　　　　　　　,A  .     ,
長生きするよ　　　　　　　　　　　　　　ながいきするよ　　　　　　　　　　　　　,A  .  N  ,
何いってんだ　　　　　　　　　　　　　　なにいってんだ　　　　　　　　　　　　　,A  .     ,
何くそ　　　　　　　　　　　　　　　　　なにくそ　　　　　　　　　　　　　　　　,A  .     ,
なのね　　　　　　　　　　　　　　　　　なのね　　　　　　　　　　　　　　　　　,A  .     ,
なめんなよ　　　　　　　　　　　　　　　なめんなよ　　　　　　　　　　　　　　　,A  .     ,
なら　　　　　　　　　　　　　　　　　　なら　　　　　　　　　　　　　　　　　　,A  .     ,
なるほどな　　　　　　　　　　　　　　　なるほどな　　　　　　　　　　　　　　　,A  .     ,
なんざますか　　　　　　　　　　　　　　なんざますか　　　　　　　　　　　　　　,A  .     ,
なんだこりゃ　　　　　　　　　　　　　　なんだこりゃ　　　　　　　　　　　　　　,A  .  N  ,
なんちゃって　　　　　　　　　　　　　　なんちゃって　　　　　　　　　　　　　　,A  .     ,
なんてこった　　　　　　　　　　　　　　なんてこった　　　　　　　　　　　　　　,A  .     ,
なんでそうなるの　　　　　　　　　　　　なんでそうなるの　　　　　　　　　　　　,A  .     ,
なんてな　　　　　　　　　　　　　　　　なんてな　　　　　　　　　　　　　　　　,A  .     ,
なんのなんの　　　　　　　　　　　　　　なんのなんの　　　　　　　　　　　　　　,A  .     ,
なんやて　　　　　　　　　　　　　　　　なんやて　　　　　　　　　　　　　　　　,A  .     ,
ね　　　　　　　　　　　　　　　　　　　ね　　　　　　　　　　　　　　　　　　　,A  .     ,
ねえ　　　　　　　　　　　　　　　　　　ねえ　　　　　　　　　　　　　　　　　　,A  .     ,
恥を知れ　　　　　　　　　　　　　　　　はじをしれ　　　　　　　　　　　　　　　,A  .  N  ,
早くとも　　　　　　　　　　　　　　　　はやくとも　　　　　　　　　　　　　　　,A  .     ,
早っ　　　　　　　　　　　　　　　　　　はやっ　　　　　　　　　　　　　　　　　,A  .     ,
微妙　　　　　　　　　　　　　　　　　　びみょう　　　　　　　　　　　　　　　　,A  .     ,
ふうん　　　　　　　　　　　　　　　　　ふうん　　　　　　　　　　　　　　　　　,A  .     ,うなずく
ぶっとばすぞ　　　　　　　　　　　　　　ぶっとばすぞ　　　　　　　　　　　　　　,A  .     ,
不勉強で申し訳ありません　　　　　　　　ふべんきょうでもうしわけありません　　　,A  .     ,
ぼけなす　　　　　　　　　　　　　　　　ぼけなす　　　　　　　　　　　　　　　　,A  .  N  ,
ほな　　　　　　　　　　　　　　　　　　ほな　　　　　　　　　　　　　　　　　　,A  .     ,
ほなら　　　　　　　　　　　　　　　　　ほなら　　　　　　　　　　　　　　　　　,A  .     ,
ほれ　　　　　　　　　　　　　　　　　　ほれ　　　　　　　　　　　　　　　　　　,A  .     ,
ほんと　　　　　　　　　　　　　　　　　ほんと　　　　　　　　　　　　　　　　　,A  .     ,
まあな　　　　　　　　　　　　　　　　　まあな　　　　　　　　　　　　　　　　　,A  .     ,
まけるな　　　　　　　　　　　　　　　　まけるな　　　　　　　　　　　　　　　　,A  .     ,
まじ　　　　　　　　　　　　　　　　　　まじ　　　　　　　　　　　　　　　　　　,A  .     ,
むふふ　　　　　　　　　　　　　　　　　むふふ　　　　　　　　　　　　　　　　　,A  .     ,
むべ　　　　　　　　　　　　　　　　　　むべ　　　　　　　　　　　　　　　　　　,A  .     ,
むべなるかな　　　　　　　　　　　　　　むべなるかな　　　　　　　　　　　　　　,A  .     ,
面倒くさっ　　　　　　　　　　　　　　　めんどくさっ　　　　　　　　　　　　　　,A  .  N  ,
もしもし　　　　　　　　　　　　　　　　もしもし　　　　　　　　　　　　　　　　,A  .     ,
もったいない　　　　　　　　　　　　　　もったいない　　　　　　　　　　　　　　,A  .     ,
やあ　　　　　　　　　　　　　　　　　　やあ　　　　　　　　　　　　　　　　　　,A  .     ,
やだよ　　　　　　　　　　　　　　　　　やだよ　　　　　　　　　　　　　　　　　,A  .     ,
やばっ　　　　　　　　　　　　　　　　　やばっ　　　　　　　　　　　　　　　　　,A  .  N  ,
やるしかない　　　　　　　　　　　　　　やるしかない　　　　　　　　　　　　　　,A  .  N  ,
ようござんす　　　　　　　　　　　　　　ようござんす　　　　　　　　　　　　　　,A  .     ,
ようこそ　　　　　　　　　　　　　　　　ようこそ　　　　　　　　　　　　　　　　,A  .  P  ,
よーし　　　　　　　　　　　　　　　　　よーし　　　　　　　　　　　　　　　　　,A  .     ,
よござんす　　　　　　　　　　　　　　　よござんす　　　　　　　　　　　　　　　,A  .     ,
よせばいいのに　　　　　　　　　　　　　よせばいいのに　　　　　　　　　　　　　,A  .     ,
よろしくお願いいたします　　　　　　　　よろしくおねがいいたします　　　　　　　,A  .     ,
よろしくお願いします　　　　　　　　　　よろしくおねがいします　　　　　　　　　,A  .     ,
らしいです　　　　　　　　　　　　　　　らしいです　　　　　　　　　　　　　　　,A  .     ,
らっしゃいませ　　　　　　　　　　　　　らっしゃいませ　　　　　　　　　　　　　,A  .     ,
んで　　　　　　　　　　　　　　　　　　んで　　　　　　　　　　　　　　　　　　,A  .     ,
