アーキア　　　　　　　　　　　　　　　　あーきあ　　　　　　　　　　　　　　　　,N B.     ,古細菌、真核生物
暗黒物質　　　　　　　　　　　　　　　　あんこくぶっじつ　　　　　　　　　　　　,N B.     ,ｄａｒｋ　ｍａｔｔｅｒ
アンコンシャス　　　　　　　　　　　　　あんこんしゃす　　　　　　　　　　　　　,C  .  N  ,無意識的な
アンコンシャス・バイアス　　　　　　　　あんこんしゃすばいあす　　　　　　　　　,N 1.  N  ,無意識の思い込み　
アンジュレーター　　　　　　　　　　　　あんじゅれーたー　　　　　　　　　　　　,N 1.     ,ｕｎｄｕｌａｔｏｒ自由電子レーザー
アンシラリー　　　　　　　　　　　　　　あんしらりー　　　　　　　　　　　　　　,N 1.     ,ａｎｃｉｌｌａｒｙ「補助的な」「付属の」
安全神話　　　　　　　　　　　　　　　　あんぜんしんわ　　　　　　　　　　　　　,N 1.  P  ,
アンダーパス　　　　　　　　　　　　　　あんだーぱす　　　　　　　　　　　　　　,N 5.     ,ｕｎｄｅｒｐａｓｓ
アンチエイジング　　　　　　　　　　　　あんちえいじんぐ　　　　　　　　　　　　,N 1.     ,
アントシアニン　　　　　　　　　　　　　あんとしあにん　　　　　　　　　　　　　,N B.     ,
アントレプレナー　　　　　　　　　　　　あんとれぷれなー　　　　　　　　　　　　,N 1.     ,新たな事業を立ち上げ、価値を生み出す
アンドロイド　　　　　　　　　　　　　　あんどろいど　　　　　　　　　　　　　　,N 1.     ,Ａｎｄｒｏｉｄ、オペレーティングシステム
Ａｎｄｒｏｉｄ　　　　　　　　　　　　　あんどろいど　　　　　　　　　　　　　　,N 1.     ,オペレーティングシステム
アンバサダー　　　　　　　　　　　　　　あんばさだー　　　　　　　　　　　　　　,N 4.     ,ａｍｂａｓｓａｄｏｒ大使、
アンビギュイティー　　　　　　　　　　　あんびぎゅいてぃー　　　　　　　　　　　,N 1.     ,多義性
アンビリーバブル　　　　　　　　　　　　あんびりーばぶる　　　　　　　　　　　　,C  .     ,Unbelievable信じられない
アンビル　　　　　　　　　　　　　　　　あんびる　　　　　　　　　　　　　　　　,N B.     ,ａｎｖｉｌ
アンプティ　　　　　　　　　　　　　　　あんぷてぃ　　　　　　　　　　　　　　　,N 1.     ,サッカー
アンメット　　　　　　　　　　　　　　　あんめっと　　　　　　　　　　　　　　　,N 1.     ,満たされていない
アンメットメディカルニーズ　　　　　　　あんめっとめでぃかるにーず　　　　　　　,N 1.     ,
ＵＮＲＷＡ　　　　　　　　　　　　　　　あんるわ　　　　　　　　　　　　　　　　,N 5.     ,
ＥＥＺ　　　　　　　　　　　　　　　　　いーいーぜっと　　　　　　　　　　　　　,N 1.     ,排他的経済水域
ＥＳＧ　　　　　　　　　　　　　　　　　いーえすじー　　　　　　　　　　　　　　,N 1.     ,環境、社会、企業統合
ＥＣ　　　　　　　　　　　　　　　　　　いーこまーす　　　　　　　　　　　　　　,N 1.     ,インターネット上の電子商取引
イージス　　　　　　　　　　　　　　　　いーじす　　　　　　　　　　　　　　　　,N 1.     ,Ａｅｇｉｓ
イージス・アショア　　　　　　　　　　　いーじす・あしょあ　　　　　　　　　　　,N 1.     ,Ａｅｇｉｓ　Ａｓｈｏｒｅ
イージスアショア　　　　　　　　　　　　いーじすあしょあ　　　　　　　　　　　　,N 1.     ,陸上イージス弾道ミサイル防衛システム
ｅスポーツ　　　　　　　　　　　　　　　いーすぽーつ　　　　　　　　　　　　　　,N 1.     ,電子機器を用いて行うスポーツ　ゲーム
ｅ－ｓｐｏｒｔｓ　　　　　　　　　　　　いーすぽーつ　　　　　　　　　　　　　　,N 1.     ,エレクトロニック・スポーツ
ＥＴＣ　　　　　　　　　　　　　　　　　いーてぃーしー　　　　　　　　　　　　　,N 1.     ,高速料金
イートイン　　　　　　　　　　　　　　　いーといん　　　　　　　　　　　　　　　,N 1.     ,
いいとこ取り　　　　　　　　　　　　　　いいとこどり　　　　　　　　　　　　　　,N 1.  P  ,
ＢＥＣ　　　　　　　　　　　　　　　　　いーびーしー　　　　　　　　　　　　　　,N 1.     ,凝縮
ＥＶ　　　　　　　　　　　　　　　　　　いーぶい　　　　　　　　　　　　　　　　,N B.     ,電気自動車
硫黄島　　　　　　　　　　　　　　　　　いおうとう　　　　　　　　　　　　　　　,N 1.     ,
イオン液体　　　　　　　　　　　　　　　いおんえきたい　　　　　　　　　　　　　,N 1.     ,
イオンチャンネル　　　　　　　　　　　　いおんちゃんねる　　　　　　　　　　　　,N 1.     ,ｉｏｎ　ｃｈａｎｎｅｌ
イグ・ノーベル賞　　　　　　　　　　　　いぐ・のーべるしょう　　　　　　　　　　,N 1.     ,
育業　　　　　　　　　　　　　　　　　　いくぎょう　　　　　　　　　　　　　　　,N 1.  P  ,
育菌する　　　　　　　　　　　　　　　　いくきんする　　　　　　　　　　　　　　,D 4.     ,
イクボス　　　　　　　　　　　　　　　　いくぼす　　　　　　　　　　　　　　　　,N 1.  P  ,子育て・介護・地域活動
イクメン　　　　　　　　　　　　　　　　いくめん　　　　　　　　　　　　　　　　,N 1.  P  ,
イケメン　　　　　　　　　　　　　　　　いけめん　　　　　　　　　　　　　　　　,N 1.  P  ,
イコカ　　　　　　　　　　　　　　　　　いこか　　　　　　　　　　　　　　　　　,N B.     ,交通系ＩＣカード
板状　　　　　　　　　　　　　　　　　　いたじょう　　　　　　　　　　　　　　　,C  .     ,
いたる所に　　　　　　　　　　　　　　　いたろところに　　　　　　　　　　　　　,F Y.     ,ある
一意専心　　　　　　　　　　　　　　　　いちいせんしん　　　　　　　　　　　　　,F Y.  P  ,
イチオシ　　　　　　　　　　　　　　　　いちおし　　　　　　　　　　　　　　　　,C  .  P  ,
一日いちにち　　　　　　　　　　　　　　いちにちいちにち　　　　　　　　　　　　,N 8.     ,
厳島神社　　　　　　　　　　　　　　　　いつくしまじんじゃ　　　　　　　　　　　,N 1.     ,
一帯一路　　　　　　　　　　　　　　　　いったいいちろ　　　　　　　　　　　　　,N 1.     ,
何時何時　　　　　　　　　　　　　　　　いつなんどき　　　　　　　　　　　　　　,N 8.     ,読み方
イデア　　　　　　　　　　　　　　　　　いであ　　　　　　　　　　　　　　　　　,N B.     ,事物の本質・価値判断の基準
ｉＤｅＣｏ　　　　　　　　　　　　　　　いでこ　　　　　　　　　　　　　　　　　,N 1.     ,個人型確定拠出年金
遺伝子解析　　　　　　　　　　　　　　　いでんしかいせき　　　　　　　　　　　　,N 1.     ,
遺伝子組み換え　　　　　　　　　　　　　いでんしくみかえ　　　　　　　　　　　　,N 1.     ,Ｇｅｎｅｔｉｃ　ｒｅｃｏｍｂｉｎａｔｉｏｎ
遺伝子検査　　　　　　　　　　　　　　　いでんしけんさ　　　　　　　　　　　　　,N 1.     ,
遺伝子検査キット　　　　　　　　　　　　いでんしけんさきっと　　　　　　　　　　,N B.     ,
遺伝子操作　　　　　　　　　　　　　　　いでんしそうさ　　　　　　　　　　　　　,N 1.     ,
遺伝子重複　　　　　　　　　　　　　　　いでんしちょうふく　　　　　　　　　　　,N 1.     ,ｇｅｎｅ　ｄｕｐｌｉｃａｔｉｏｎ
遺伝子ドライブ　　　　　　　　　　　　　いでんしどらいぶ　　　　　　　　　　　　,N 1.     ,
いないいないばあ　　　　　　　　　　　　いないいないばあ　　　　　　　　　　　　,N 1.     ,
稲わら　　　　　　　　　　　　　　　　　いなわら　　　　　　　　　　　　　　　　,N B.     ,
犬好き　　　　　　　　　　　　　　　　　いぬずき　　　　　　　　　　　　　　　　,C  .     ,
犬派　　　　　　　　　　　　　　　　　　いぬは　　　　　　　　　　　　　　　　　,C  .     ,
イヌリン　　　　　　　　　　　　　　　　いぬりん　　　　　　　　　　　　　　　　,N B.     ,水溶性食物繊維の一種
イノベーション　　　　　　　　　　　　　いのべーしょん　　　　　　　　　　　　　,N 1.     ,技術革新
イベルメクチン　　　　　　　　　　　　　いべるめくちん　　　　　　　　　　　　　,N B.     ,ｉｖｅｒｍｅｃｔｉｎ
今川焼き　　　　　　　　　　　　　　　　いまがわやき　　　　　　　　　　　　　　,N B.     ,
イミダゾールジペプチド　　　　　　　　　いみだぞーるじぺぷちど　　　　　　　　　,N B.     ,Ｉｍｉｄａｚｏｌｅ　ｄｉｐｅｐｔｉｄｅ
イメージチェンジ　　　　　　　　　　　　いめーじちぇんじ　　　　　　　　　　　　,N 1.     ,
イヤーマフ　　　　　　　　　　　　　　　いやーまふ　　　　　　　　　　　　　　　,N B.     ,耳あて
いわくつき　　　　　　　　　　　　　　　いわくつき　　　　　　　　　　　　　　　,C  .  N  ,
石見銀山　　　　　　　　　　　　　　　　いわみぎんざん　　　　　　　　　　　　　,N 7.     ,
インクリュージョン　　　　　　　　　　　いんくりゅーじょん　　　　　　　　　　　,N 1.     ,包含
インクルージョン　　　　　　　　　　　　いんくるーじょん　　　　　　　　　　　　,N 1.     ,
インクレディブル　　　　　　　　　　　　いんくれでぃぶる　　　　　　　　　　　　,C  .     ,incredible信じられない
インサイダー　　　　　　　　　　　　　　いんさいだー　　　　　　　　　　　　　　,N 5.     ,内部組織
インサイト　　　　　　　　　　　　　　　いんさいと　　　　　　　　　　　　　　　,N 1.     ,火星探査機
インスタ　　　　　　　　　　　　　　　　いんすた　　　　　　　　　　　　　　　　,N 1.     ,Instagram
インスタグラム　　　　　　　　　　　　　いんすたぐらむ　　　　　　　　　　　　　,N 1.     ,Ｉｎｓｔａｇｒａｍ写真や動画のサイト
インスタ映えする　　　　　　　　　　　　いんすたばえする　　　　　　　　　　　　,D 4.  P  ,
インスパイア　　　　　　　　　　　　　　いんすぱいあ　　　　　　　　　　　　　　,C  .  P  ,inspire
インスペクター　　　　　　　　　　　　　いんすぺくたー　　　　　　　　　　　　　,N 4.     , 検査や監督をする者。検査官
インセンティブ　　　　　　　　　　　　　いんせんてぃぶ　　　　　　　　　　　　　,N 1.     ,ｉｎｃｅｎｔｉｖｅ、報奨金
インターロイキン　　　　　　　　　　　　いんたーろいきん　　　　　　　　　　　　,N B.     ,Ｉｎｔｅｒｌｅｕｋｉｎ
インターン　　　　　　　　　　　　　　　いんたーん　　　　　　　　　　　　　　　,N 1.     ,就業体験
インタラクティブ　　　　　　　　　　　　いんたらくてぃぶ　　　　　　　　　　　　,N 1.     ,会話型
インティファーダ　　　　　　　　　　　　いんてぃふぁーだ　　　　　　　　　　　　,N 1.     ,Ｉｎｔｉｆａｄａ民衆蜂起
インテリジェンス　　　　　　　　　　　　いんてりじぇんす　　　　　　　　　　　　,N 1.     ,知能
インナーマッスル　　　　　　　　　　　　いんなーまっする　　　　　　　　　　　　,N B.     ,
インバウンド　　　　　　　　　　　　　　いんばうんど　　　　　　　　　　　　　　,N 1.     ,inbound、訪日
