ああ言えばこう言う　　　　　　　　　　　ああいえばこういう　　　　　　　　　　　,D W.  N  ,
愛想を尽かす　　　　　　　　　　　　　　あいそうをつかす　　　　　　　　　　　　,D S.  NI ,
愛想が尽きる　　　　　　　　　　　　　　あいそがつきる　　　　　　　　　　　　　,D 1.  NM ,
愛想が悪い　　　　　　　　　　　　　　　あいそがわるい　　　　　　　　　　　　　,K  .  N  ,
愛想もこそも尽き果てる　　　　　　　　　あいそこそもつきはてる　　　　　　　　　,D 1.  NM ,
愛想を言う　　　　　　　　　　　　　　　あいそをいう　　　　　　　　　　　　　　,D W.   I ,
愛想を尽かす　　　　　　　　　　　　　　あいそをつかす　　　　　　　　　　　　　,D S.  NI ,
相対ずく　　　　　　　　　　　　　　　　あいたいずく　　　　　　　　　　　　　　,C  .     ,
開いた口が塞がらない　　　　　　　　　　あいたくちがふさがらない　　　　　　　　,D 7.  NM ,
間に立つ　　　　　　　　　　　　　　　　あいだにたつ　　　　　　　　　　　　　　,D T.   I ,
間に立てる　　　　　　　　　　　　　　　あいだにたてる　　　　　　　　　　　　　,D 1.   I ,
間に入る　　　　　　　　　　　　　　　　あいだにはいる　　　　　　　　　　　　　,D R.   M ,
愛着が湧く　　　　　　　　　　　　　　　あいちゃくがわく　　　　　　　　　　　　,D K.  PM ,
哀調を帯びる　　　　　　　　　　　　　　あいちょうをおびる　　　　　　　　　　　,D 1.  NM ,
相通じるものがある　　　　　　　　　　　あいつうじるものがある　　　　　　　　　,D R.  PM ,
相づちを打つ　　　　　　　　　　　　　　あいづちをうつ　　　　　　　　　　　　　,D T.   I ,
アイデアが浮かぶ　　　　　　　　　　　　あいであがうかぶ　　　　　　　　　　　　,D B.  PM ,
アイデアが生まれる　　　　　　　　　　　あいであがうまれる　　　　　　　　　　　,D 1.  PM ,
アイデアが湧く　　　　　　　　　　　　　あいであがわく　　　　　　　　　　　　　,D K.  PM ,
相手変われど主変わらず　　　　　　　　　あいてかわれどぬしかわらず　　　　　　　,C  .  N  ,
相手にする　　　　　　　　　　　　　　　あいてにする　　　　　　　　　　　　　　,D 5.   I ,
相手にとって不足はない　　　　　　　　　あいてにとってふそくはない　　　　　　　,K  .  P  ,
相手になる　　　　　　　　　　　　　　　あいてになる　　　　　　　　　　　　　　,D R.  PM ,
相手を上げる　　　　　　　　　　　　　　あいてをあげる　　　　　　　　　　　　　,D 1.   I ,
相手をする　　　　　　　　　　　　　　　あいてをする　　　　　　　　　　　　　　,D 4.  PI ,
哀悼の意を示す　　　　　　　　　　　　　あいとうのいをしめす　　　　　　　　　　,D S.   I ,
哀悼の意を表する　　　　　　　　　　　　あいとうのいをひょうする　　　　　　　　,D 5.  PI ,
哀悼の誠　　　　　　　　　　　　　　　　あいとうのまこと　　　　　　　　　　　　,N  .     ,
あいにくなことに　　　　　　　　　　　　あいにくなことに　　　　　　　　　　　　,F Y.  N  ,
合いの手を入れる　　　　　　　　　　　　あいのてをいれる　　　　　　　　　　　　,D 1.  PI ,
愛のむち　　　　　　　　　　　　　　　　あいのむち　　　　　　　　　　　　　　　,C  .  P  ,
愛は惜しみなく奪う　　　　　　　　　　　あいはおしみなくうばう　　　　　　　　　,D W.  NM ,
あいまって　　　　　　　　　　　　　　　あいまって　　　　　　　　　　　　　　　,F Y.     ,
合間を縫って　　　　　　　　　　　　　　あいまをぬって　　　　　　　　　　　　　,F Y.     ,
相も変わらず　　　　　　　　　　　　　　あいもかわらず　　　　　　　　　　　　　,C  .     ,
愛をささやく　　　　　　　　　　　　　　あいをささやく　　　　　　　　　　　　　,D K.   I ,
合うは別れの始め　　　　　　　　　　　　あうはわかれのはじめ　　　　　　　　　　,C  .     ,
あうんの呼吸　　　　　　　　　　　　　　あうんのこきゅう　　　　　　　　　　　　,C  .  P  ,
あえて言うと　　　　　　　　　　　　　　あえていうと　　　　　　　　　　　　　　,F K. 3  d,
あえて言えば　　　　　　　　　　　　　　あえていえば　　　　　　　　　　　　　　,F K. 3  d,
あえない最後を遂げる　　　　　　　　　　あえないさいごをとげる　　　　　　　　　,D 1.  NM ,
青くなる　　　　　　　　　　　　　　　　あおくなる　　　　　　　　　　　　　　　,D R.  NM ,
青写真を描く　　　　　　　　　　　　　　あおじゃしんをえがく　　　　　　　　　　,D K.   I ,
青筋が立つ　　　　　　　　　　　　　　　あおすじがたつ　　　　　　　　　　　　　,D T.  NM ,
青筋を立てる　　　　　　　　　　　　　　あおすじをたてる　　　　　　　　　　　　,D 1.  NM ,
青田買い　　　　　　　　　　　　　　　　あおたがい　　　　　　　　　　　　　　　,C  .  N  ,
青田刈り　　　　　　　　　　　　　　　　あおたがり　　　　　　　　　　　　　　　,C  .  N  ,
青菜に塩　　　　　　　　　　　　　　　　あおなにしお　　　　　　　　　　　　　　,C  .  N  ,
青は藍より出でて藍より青し　　　　　　　あおはあいよりいでてあいよりあおし　　　,C  .  P  ,
あおりを受ける　　　　　　　　　　　　　あおりをうける　　　　　　　　　　　　　,D 1.  NM ,
あおりを食う　　　　　　　　　　　　　　あおりをくう　　　　　　　　　　　　　　,D W.  NM ,
明々と明ける　　　　　　　　　　　　　　あかあかとあける　　　　　　　　　　　　,D 1.  PM ,
赤々と咲く　　　　　　　　　　　　　　　あかあかとさく　　　　　　　　　　　　　,D K.  PM ,
赤々と沈む　　　　　　　　　　　　　　　あかあかとしずむ　　　　　　　　　　　　,D M.  PM ,
明々と照る　　　　　　　　　　　　　　　あかあかとてる　　　　　　　　　　　　　,D R.  PM ,
赤々と燃える　　　　　　　　　　　　　　あかあかともえる　　　　　　　　　　　　,D 1.  PM ,
赤い糸で結ばれる　　　　　　　　　　　　あかいいとでむすばれる　　　　　　　　　,D 1.  PM ,
赤い絨毯を踏む　　　　　　　　　　　　　あかいじゅうたんをふむ　　　　　　　　　,D M.  PM ,
あかが抜ける　　　　　　　　　　　　　　あかがぬける　　　　　　　　　　　　　　,D 1.  PM ,
あがきが取れない　　　　　　　　　　　　あがきがとれない　　　　　　　　　　　　,D 7.  NM ,
あかぎれが切れる　　　　　　　　　　　　あかぎれがきれる　　　　　　　　　　　　,D 1.  NM ,
赤くなる　　　　　　　　　　　　　　　　あかくなる　　　　　　　　　　　　　　　,D R.  NM ,
赤子の手をひねるよう　　　　　　　　　　あかごのてをひねるよう　　　　　　　　　,C  .  P  ,
証しが立つ　　　　　　　　　　　　　　　あかしがたつ　　　　　　　　　　　　　　,D T.  PM ,
赤字が出る　　　　　　　　　　　　　　　あかじがでる　　　　　　　　　　　　　　,D 1.  NM ,
赤字を埋める　　　　　　　　　　　　　　あかじをうめる　　　　　　　　　　　　　,D 1.  PI ,
赤字を出す　　　　　　　　　　　　　　　あかじをだす　　　　　　　　　　　　　　,D S.  NM ,
証しを立てる　　　　　　　　　　　　　　あかしをたてる　　　　　　　　　　　　　,D 1.  PI ,
赤信号がつく　　　　　　　　　　　　　　あかしんごうがつく　　　　　　　　　　　,D K.  NM ,
開かずの扉　　　　　　　　　　　　　　　あかずのとびら　　　　　　　　　　　　　,C  .  N  ,
赤ちゃんを授かる　　　　　　　　　　　　あかちゃんをさずかる　　　　　　　　　　,D R.  PM ,
上がったり　　　　　　　　　　　　　　　あがったり　　　　　　　　　　　　　　　,C  .  N  ,
赤っ恥をかく　　　　　　　　　　　　　　あかっぱじをかく　　　　　　　　　　　　,D K.  NM ,
あか抜けする　　　　　　　　　　　　　　あかぬけする　　　　　　　　　　　　　　,D 4.  PM ,
赤の他人　　　　　　　　　　　　　　　　あかのたにん　　　　　　　　　　　　　　,C  .  N  ,
赤恥をかく　　　　　　　　　　　　　　　あかはじをかく　　　　　　　　　　　　　,D K.  NM ,
赤恥をさらす　　　　　　　　　　　　　　あかはじをさらす　　　　　　　　　　　　,D S.  NM ,
赤みがさす　　　　　　　　　　　　　　　あかみがさす　　　　　　　　　　　　　　,D S.  PM ,
赤みが増す　　　　　　　　　　　　　　　あかみがます　　　　　　　　　　　　　　,D S.  PM ,
赤みを帯びる　　　　　　　　　　　　　　あかみをおびる　　　　　　　　　　　　　,D 1.   M ,
上がり下りする　　　　　　　　　　　　　あがりおりする　　　　　　　　　　　　　,D 4.   I ,
明かりが立つ　　　　　　　　　　　　　　あかりがたつ　　　　　　　　　　　　　　,D T.  PM ,
明かりがつく　　　　　　　　　　　　　　あかりがつく　　　　　　　　　　　　　　,D K.   M ,
明かりが見えてくる　　　　　　　　　　　あかりがみえてくる　　　　　　　　　　　,D 3.   M ,
上がり下がりする　　　　　　　　　　　　あがりさがりする　　　　　　　　　　　　,D 4.   I ,
明かりを付ける　　　　　　　　　　　　　あかりをつける　　　　　　　　　　　　　,D 1.   I ,
明るみに出す　　　　　　　　　　　　　　あかるみにだす　　　　　　　　　　　　　,D S.   I ,
明るみに出る　　　　　　　　　　　　　　あかるみにでる　　　　　　　　　　　　　,D 1.  PM ,
赤を入れる　　　　　　　　　　　　　　　あかをいれる　　　　　　　　　　　　　　,D 1.   I ,
赤ん坊を取り上げる　　　　　　　　　　　あかんぼうをとりあげる　　　　　　　　　,D 1.  PI ,
飽きが来る　　　　　　　　　　　　　　　あきがくる　　　　　　　　　　　　　　　,D 3.  NM ,
飽きが来ない　　　　　　　　　　　　　　あきがこない　　　　　　　　　　　　　　,K  .  P  ,
秋風が立つ　　　　　　　　　　　　　　　あきかぜがたつ　　　　　　　　　　　　　,D T.   M ,
秋風が吹く　　　　　　　　　　　　　　　あきかぜがふく　　　　　　　　　　　　　,D K.   M ,
秋が深まる　　　　　　　　　　　　　　　あきがふかまる　　　　　　　　　　　　　,D R.   M ,
秋ナスは嫁に食わすな　　　　　　　　　　あきなすはよめにくわすな　　　　　　　　,F Y.     ,
秋の日は釣るべ落とし　　　　　　　　　　あきのひはつるべおとし　　　　　　　　　,C  .     ,
秋の夜長　　　　　　　　　　　　　　　　あきのよなが　　　　　　　　　　　　　　,N 8.     ,
秋深し　　　　　　　　　　　　　　　　　あきふかし　　　　　　　　　　　　　　　,F Y.  P  ,
秋も深まり　　　　　　　　　　　　　　　あきもふかまり　　　　　　　　　　　　　,F Y.     ,
明らかにする　　　　　　　　　　　　　　あきらかにする　　　　　　　　　　　　　,D 5.  PI ,
明らかになる　　　　　　　　　　　　　　あきらかになる　　　　　　　　　　　　　,D R.  PM ,
諦めが付く　　　　　　　　　　　　　　　あきらめがつく　　　　　　　　　　　　　,D K.  PM ,
あきれてものが言えない　　　　　　　　　あきれてものがいえない　　　　　　　　　,D 7.  N  ,
悪意に取る　　　　　　　　　　　　　　　あくいにとる　　　　　　　　　　　　　　,D R.  NI ,
悪意に満ちる　　　　　　　　　　　　　　あくいにみちる　　　　　　　　　　　　　,D 1.  NM ,
悪意を抱く　　　　　　　　　　　　　　　あくいをいだく　　　　　　　　　　　　　,D K.  NI ,
悪運が尽きる　　　　　　　　　　　　　　あくうんがつきる　　　　　　　　　　　　,D 1.  NM ,
悪運が強い　　　　　　　　　　　　　　　あくうんがつよい　　　　　　　　　　　　,K  .  NM ,
あくが強い　　　　　　　　　　　　　　　あくがつよい　　　　　　　　　　　　　　,K  .  N  ,
あくが抜ける　　　　　　　　　　　　　　あくがぬける　　　　　　　　　　　　　　,D 1.  PM ,
悪事千里を走る　　　　　　　　　　　　　あくじせんりをはしる　　　　　　　　　　,D R.  NM ,
悪事千里をはしる　　　　　　　　　　　　あくじせんりをはしる　　　　　　　　　　,D R.  NM ,
悪習が抜けない　　　　　　　　　　　　　あくしゅうがぬけない　　　　　　　　　　,D 7.  NM ,
悪習を断つ　　　　　　　　　　　　　　　あくしゅうをたつ　　　　　　　　　　　　,D T.  PI ,
悪臭を放つ　　　　　　　　　　　　　　　あくしゅうをはなつ　　　　　　　　　　　,D T.  NM ,
握手を交わす　　　　　　　　　　　　　　あくしゅをかわす　　　　　　　　　　　　,D S.  PI ,
握手を求める　　　　　　　　　　　　　　あくしゅをもとめる　　　　　　　　　　　,D 1.  PI ,
悪循環に陥る　　　　　　　　　　　　　　あくじゅんかんにおちいる　　　　　　　　,D R.  NM ,
悪循環を断ち切る　　　　　　　　　　　　あくじゅんかんをたちきる　　　　　　　　,D R.  PI ,
悪女の深情け　　　　　　　　　　　　　　あくじょのふかなさけ　　　　　　　　　　,C  .  N  ,
悪事を重ねる　　　　　　　　　　　　　　あくじをかさねる　　　　　　　　　　　　,D 1.  NM ,
悪事をなす　　　　　　　　　　　　　　　あくじをなす　　　　　　　　　　　　　　,D S.  NI ,
悪事を謀る　　　　　　　　　　　　　　　あくじをはかる　　　　　　　　　　　　　,D R.   I ,
悪事を働く　　　　　　　　　　　　　　　あくじをはたらく　　　　　　　　　　　　,D K.  NI ,
アクセルを踏む　　　　　　　　　　　　　あくせるをふむ　　　　　　　　　　　　　,D M.   I ,
悪戦苦闘を強いられる　　　　　　　　　　あくせんくとうをしいられる　　　　　　　,D 1.  NM ,
アクセントが下がる　　　　　　　　　　　あくせんとがさがる　　　　　　　　　　　,D R.   M ,
アクセントを上げる　　　　　　　　　　　あくせんとをあげる　　　　　　　　　　　,D 1.  PI ,
アクセントを置く　　　　　　　　　　　　あくせんとをおく　　　　　　　　　　　　,D K.  PI ,
アクセントを下げる　　　　　　　　　　　あくせんとをさげる　　　　　　　　　　　,D 1.   I ,
アクセントを付ける　　　　　　　　　　　あくせんとをつける　　　　　　　　　　　,D 1.  PI ,
悪銭身に付かず　　　　　　　　　　　　　あくせんみにつかず　　　　　　　　　　　,C  .  N  ,
悪態をつく　　　　　　　　　　　　　　　あくたいをつく　　　　　　　　　　　　　,D K.  NI ,
悪たれ口をたたく　　　　　　　　　　　　あくたれぐちをたたく　　　　　　　　　　,D K.  N  ,
悪に染まる　　　　　　　　　　　　　　　あくにそまる　　　　　　　　　　　　　　,D R.  NM ,
悪に走る　　　　　　　　　　　　　　　　あくにはしる　　　　　　　　　　　　　　,D R.  NM ,
悪の温床　　　　　　　　　　　　　　　　あくのおんしょう　　　　　　　　　　　　,C  .  N  ,
悪の元凶　　　　　　　　　　　　　　　　あくのげんきょう　　　　　　　　　　　　,C  .  N  ,
悪の権化　　　　　　　　　　　　　　　　あくのごんげ　　　　　　　　　　　　　　,C  .  N  ,
悪の巣　　　　　　　　　　　　　　　　　あくのす　　　　　　　　　　　　　　　　,N  .  N  ,
悪の巣窟　　　　　　　　　　　　　　　　あくのそうくつ　　　　　　　　　　　　　,C  .  N  ,
あくの強い　　　　　　　　　　　　　　　あくのつよい　　　　　　　　　　　　　　,K  .  N  ,
悪の芽を摘む　　　　　　　　　　　　　　あくのめをつむ　　　　　　　　　　　　　,D M.  PI ,
あくびが出る　　　　　　　　　　　　　　あくびがでる　　　　　　　　　　　　　　,D 1.  NM ,
あくびをかみ殺す　　　　　　　　　　　　あくびをかみころす　　　　　　　　　　　,D S.   M ,
あくびを誘う　　　　　　　　　　　　　　あくびをさそう　　　　　　　　　　　　　,D W.  NI ,
悪風に染まる　　　　　　　　　　　　　　あくふうにそまる　　　　　　　　　　　　,D R.  NM ,
悪法もまた法なり　　　　　　　　　　　　あくほうもまたほうなり　　　　　　　　　,C  .  N  ,
悪魔の化身　　　　　　　　　　　　　　　あくまのけしん　　　　　　　　　　　　　,C  .  N  ,
悪夢から覚める　　　　　　　　　　　　　あくむからさめる　　　　　　　　　　　　,D 1.  PM ,
悪夢から目覚める　　　　　　　　　　　　あくむからめざめる　　　　　　　　　　　,D 1.  PM ,
悪夢にうなされる　　　　　　　　　　　　あくむにうなされる　　　　　　　　　　　,D 1.  NM ,
悪名が高い　　　　　　　　　　　　　　　あくめいがたかい　　　　　　　　　　　　,K  .  N  ,
悪名がとどろく　　　　　　　　　　　　　あくめいがとどろく　　　　　　　　　　　,D K.  NM ,
悪名高い　　　　　　　　　　　　　　　　あくめいたかい　　　　　　　　　　　　　,K  .  N  ,
悪名を売る　　　　　　　　　　　　　　　あくめいをうる　　　　　　　　　　　　　,D R.  NI ,
あぐらをかく　　　　　　　　　　　　　　あぐらをかく　　　　　　　　　　　　　　,D K.  NI ,
あぐらを組む　　　　　　　　　　　　　　あぐらをくむ　　　　　　　　　　　　　　,D M.   I ,
悪霊がつく　　　　　　　　　　　　　　　あくりょうがつく　　　　　　　　　　　　,D K.  NM ,
悪霊につかれる　　　　　　　　　　　　　あくりょうにつかれる　　　　　　　　　　,D 1.  NM ,
悪霊に取りつかれる　　　　　　　　　　　あくりょうにとりつかれる　　　　　　　　,D 1.  NM ,
悪を成す　　　　　　　　　　　　　　　　あくをなす　　　　　　　　　　　　　　　,D S.  NM ,
あくを抜かれる　　　　　　　　　　　　　あくをぬかれる　　　　　　　　　　　　　,D 1.  PM ,
あくを抜く　　　　　　　　　　　　　　　あくをぬく　　　　　　　　　　　　　　　,D K.  PI ,
揚げ足を取る　　　　　　　　　　　　　　あげあしをとる　　　　　　　　　　　　　,D R.  NI ,
挙げ句の果てに　　　　　　　　　　　　　あげくのはてに　　　　　　　　　　　　　,FIY.  N  ,失敗した
明け暮れ　　　　　　　　　　　　　　　　あけくれ　　　　　　　　　　　　　　　　,C  .     ,
上げ潮に乗る　　　　　　　　　　　　　　あげしおにのる　　　　　　　　　　　　　,D R.  PM ,
上げ膳据え膳　　　　　　　　　　　　　　あげぜんすえぜん　　　　　　　　　　　　,C  .  P  ,
上げたり下げたり　　　　　　　　　　　　あげたりさげたり　　　　　　　　　　　　,C  .     ,
明けても暮れても　　　　　　　　　　　　あけてもくれても　　　　　　　　　　　　,F Y.     ,
明けない夜はない　　　　　　　　　　　　あけないよるはない　　　　　　　　　　　,K  .  P  ,
朱に染まる　　　　　　　　　　　　　　　あけにそまる　　　　　　　　　　　　　　,D R.   M ,
明けましておめでとう　　　　　　　　　　あけましておめでとう　　　　　　　　　　,A  .  P  ,
顎が落ちそう　　　　　　　　　　　　　　あごがおちそう　　　　　　　　　　　　　,C  .  P  ,美味しい
顎が落ちる　　　　　　　　　　　　　　　あごがおちる　　　　　　　　　　　　　　,D 1.   M ,
顎が出る　　　　　　　　　　　　　　　　あごがでる　　　　　　　　　　　　　　　,D 1.  NM ,疲れ切る
顎が外れる　　　　　　　　　　　　　　　あごがはずれる　　　　　　　　　　　　　,D 1.  NM ,
顎が張っている　　　　　　　　　　　　　あごがはっている　　　　　　　　　　　　,D 1.  NM ,
顎が張る　　　　　　　　　　　　　　　　あごがはる　　　　　　　　　　　　　　　,D R.  NM ,
顎が干上がる　　　　　　　　　　　　　　あごがひあがる　　　　　　　　　　　　　,D R.  NM ,欠乏
憧れが強い　　　　　　　　　　　　　　　あこがれがつよい　　　　　　　　　　　　,K  .     ,
憧れの的　　　　　　　　　　　　　　　　あこがれのまと　　　　　　　　　　　　　,C  .  P  ,
憧れを抱く　　　　　　　　　　　　　　　あこがれをいだく　　　　　　　　　　　　,D K.  P  ,
顎であしらう　　　　　　　　　　　　　　あごであしらう　　　　　　　　　　　　　,D W.  NI ,
顎で使う　　　　　　　　　　　　　　　　あごでつかう　　　　　　　　　　　　　　,D W.  NI ,
顎で人を使う　　　　　　　　　　　　　　あごでひとをつかう　　　　　　　　　　　,D W.  NI ,
顎の先で使う　　　　　　　　　　　　　　あごのさきでつかう　　　　　　　　　　　,D W.  NI ,
顎の張る　　　　　　　　　　　　　　　　あごのはる　　　　　　　　　　　　　　　,R  .  N  ,
顎をしゃくる　　　　　　　　　　　　　　あごをしゃくる　　　　　　　　　　　　　,D R.   I ,
顎を出す　　　　　　　　　　　　　　　　あごをだす　　　　　　　　　　　　　　　,D S.  NM ,疲れ切る
顎を突き出す　　　　　　　　　　　　　　あごをつきだす　　　　　　　　　　　　　,D S.  NI ,
顎をなでる　　　　　　　　　　　　　　　あごをなでる　　　　　　　　　　　　　　,D 1.   I ,
顎を外す　　　　　　　　　　　　　　　　あごをはずす　　　　　　　　　　　　　　,D S.  NM ,笑う
朝起きは三文の徳　　　　　　　　　　　　あさおきはさんもんのとく　　　　　　　　,C  .  P  ,
朝が来る　　　　　　　　　　　　　　　　あさがくる　　　　　　　　　　　　　　　,D 3.  PM ,
朝から晩まで　　　　　　　　　　　　　　あさからばんまで　　　　　　　　　　　　,F Y.     ,
あさっての方を向く　　　　　　　　　　　あさってのほうをむく　　　　　　　　　　,D K.  NI ,
朝な夕な　　　　　　　　　　　　　　　　あさなゆうな　　　　　　　　　　　　　　,C  .     ,
朝な夕なに　　　　　　　　　　　　　　　あさなゆうなに　　　　　　　　　　　　　,F Y. 3   ,
麻のごとく乱れる　　　　　　　　　　　　あさのごとくみだれる　　　　　　　　　　,D 1.  NM ,
麻のごとし　　　　　　　　　　　　　　　あさのごとし　　　　　　　　　　　　　　,F Y.  N  ,
朝飯前　　　　　　　　　　　　　　　　　あさめしまえ　　　　　　　　　　　　　　,C  .  P  ,
足跡をしるす　　　　　　　　　　　　　　あしあとをしるす　　　　　　　　　　　　,D S.  PM ,
足跡を残す　　　　　　　　　　　　　　　あしあとをのこす　　　　　　　　　　　　,D S.   M ,
足音が近づく　　　　　　　　　　　　　　あしおとがちかづく　　　　　　　　　　　,D K.   M ,
足音を忍ばせる　　　　　　　　　　　　　あしおとをしのばせる　　　　　　　　　　,D 1.   I ,
足がある　　　　　　　　　　　　　　　　あしがある　　　　　　　　　　　　　　　,D R.   M ,
味がある　　　　　　　　　　　　　　　　あじがある　　　　　　　　　　　　　　　,D R.  PM ,
味が生きる　　　　　　　　　　　　　　　あじがいきる　　　　　　　　　　　　　　,D 1.  PM ,
足が痛む　　　　　　　　　　　　　　　　あしがいたむ　　　　　　　　　　　　　　,D M.  NM ,
足が奪われる　　　　　　　　　　　　　　あしがうばわれる　　　　　　　　　　　　,D 1.  NM ,
足が遅い　　　　　　　　　　　　　　　　あしがおそい　　　　　　　　　　　　　　,K  .  N  ,
足が重い　　　　　　　　　　　　　　　　あしがおもい　　　　　　　　　　　　　　,K  .  N  ,
足掛かりを作る　　　　　　　　　　　　　あしがかりをつくる　　　　　　　　　　　,D R.  PI ,
味が染みこむ　　　　　　　　　　　　　　あしがしみこむ　　　　　　　　　　　　　,D M.  PM ,
足がすくむ　　　　　　　　　　　　　　　あしがすくむ　　　　　　　　　　　　　　,D M.  NM ,
足が滑る　　　　　　　　　　　　　　　　あしがすべる　　　　　　　　　　　　　　,D R.  NM ,
足かせになる　　　　　　　　　　　　　　あしかせになる　　　　　　　　　　　　　,D R.  NM ,
足かせをはめる　　　　　　　　　　　　　あしかせをはめる　　　　　　　　　　　　,D 1.  NI ,
足が地に着いた　　　　　　　　　　　　　あしがちについた　　　　　　　　　　　　,R  .  P  ,
足が地に着かない　　　　　　　　　　　　あしがちにつかない　　　　　　　　　　　,D 7.  N  ,
足が付く　　　　　　　　　　　　　　　　あしがつく　　　　　　　　　　　　　　　,D K.  NM ,
足がつる　　　　　　　　　　　　　　　　あしがつる　　　　　　　　　　　　　　　,D R.  NM ,
味が出てくる　　　　　　　　　　　　　　あじがでてくる　　　　　　　　　　　　　,D 3.  PM ,
足が出る　　　　　　　　　　　　　　　　あしがでる　　　　　　　　　　　　　　　,D 1.  NM ,
足が遠のく　　　　　　　　　　　　　　　あしがとおのく　　　　　　　　　　　　　,D K.  NM ,
足が途絶える　　　　　　　　　　　　　　あしがとだえる　　　　　　　　　　　　　,D 1.  NM ,
